日期,调查发生数,获取数据
2018/1/1,1,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-1')),1]);"
2018/1/2,14,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-2')),14]);"
2018/1/3,7,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-3')),7]);"
2018/1/4,10,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-4')),10]);"
2018/1/5,0,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-5')),0]);"
2018/1/6,1,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-6')),1]);"
2018/1/7,0,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-7')),0]);"
2018/1/8,11,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-8')),11]);"
2018/1/9,1,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-9')),1]);"
2018/1/10,5,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-10')),5]);"
2018/1/11,8,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-11')),8]);"
2018/1/12,1,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-12')),1]);"
2018/1/13,0,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-13')),0]);"
2018/1/14,1,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-14')),1]);"
2018/1/15,4,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-15')),4]);"
2018/1/16,18,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-16')),18]);"
2018/1/17,2,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-17')),2]);"
2018/1/18,3,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-18')),3]);"
2018/1/19,0,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-19')),0]);"
2018/1/20,1,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-20')),1]);"
2018/1/21,5,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-21')),5]);"
2018/1/22,5,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-22')),5]);"
2018/1/23,3,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-23')),3]);"
2018/1/24,15,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-24')),15]);"
2018/1/25,3,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-25')),3]);"
2018/1/26,0,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-26')),0]);"
2018/1/27,1,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-27')),1]);"
2018/1/28,0,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-28')),0]);"
2018/1/29,12,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-29')),12]);"
2018/1/30,6,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-30')),6]);"
2018/1/31,3,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-1-31')),3]);"
2018/2/1,20,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-2-1')),20]);"
2018/2/2,7,"data.push([echarts.format.formatTime('yyyy-MM-dd',echarts.number.parseDate('2018-2-2')),7]);"
